Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles, traveled to, date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
1/1/2014,6559,6323722,9.254,11,243,581,95971,29,268,10
1/2/2014,9334,6333056,11.736,11,255,317,96000,42,66,3
1/3/2014,1288,6334344,1.855,11,257,172,96042,23,1,1
1/4/2014,2494,6336838,3.706,11,260,878,96065,19,14,1
1/5/2014,2937,6339775,3.72,11,264,598,96084,18,17,4
1/6/2014,10481,6350256,13.016,11,277,613,96102,22,30,7
1/7/2014,7144,6357400,8.2,11,285,814,96124,28,5,4
1/8/2014,10162,6367562,11.768,11,297,582,96152,19,28,4
1/9/2014,14571,6382133,18.401,11,315,983,96171,18,74,10
1/10/2014,10685,6392818,13.433,11,329,416,96189,36,49,5
1/11/2014,8333,6401151,10.735,11,340,151,96225,22,101,16
1/12/2014,13549,6414700,19.141,11,359,291,96247,29,350,22
1/13/2014,22377,6437077,30.829,11,390,121,96276,72,224,31
1/14/2014,10849,6447926,13.271,11,403,392,96348,43,45,4
1/15/2014,23500,6471426,32.303,11,435,695,96391,62,241,30
1/16/2014,21528,6492954,28.807,11,464,502,96453,56,208,37
1/17/2014,21840,6514794,30.773,11,495,275,96509,67,282,34
1/18/2014,10222,6525016,14.596,11,509,870,96576,40,176,15
1/19/2014,9768,6534784,13.591,11,523,461,96616,38,194,13
1/20/2014,14581,6549365,20.103,11,543,564,96654,47,133,11
1/21/2014,4171,6553536,5.429,11,548,993,96701,32,5,1
1/22/2014,2762,6556298,4.061,11,553,054,96733,8,4,3
1/23/2014,5743,6562041,8.336,11,561,390,96741,16,9,1
1/24/2014,6901,6568942,9.375,11,570,765,96757,13,15,6
1/25/2014,4716,6573658,6.004,11,576,770,96770,14,34,0
1/26/2014,5462,6579120,6.691,11,583,461,96784,20,37,6
1/27/2014,14304,6593424,18.127,11,601,588,96804,26,55,18
1/28/2014,11066,6604490,13.722,11,615,310,96830,22,18,7
1/29/2014,10838,6615328,13.394,11,628,704,96852,33,21,6
1/30/2014,13198,6628526,16.914,11,645,618,96885,27,42,7
1/31/2014,15886,6644412,21.541,11,667,159,96912,23,130,10
2/1/2014,13797,6658209,20.707,11,687,866,96935,23,349,29
2/2/2014,15009,6673218,22.915,11,710,781,96958,40,449,10
2/3/2014,2839,6676057,3.635,11,714,416,96998,27,4,2
2/4/2014,9551,6685608,12.708,11,727,124,97025,21,37,2
2/5/2014,3076,6688684,4.603,11,731,727,97046,15,8,1
2/6/2014,8227,6696911,12.641,11,744,368,97061,21,25,9
2/7/2014,9473,6706384,14.206,11,758,574,97082,12,36,5
2/8/2014,6640,6713024,9.563,11,768,137,97094,15,71,1
2/9/2014,5527,6718551,7.806,11,775,942,97109,19,47,6
2/10/2014,7643,6726194,10.867,11,786,809,97128,26,16,3
2/11/2014,9258,6735452,12.57,11,799,379,97154,20,22,4
2/12/2014,9531,6744983,12.691,11,812,070,97174,10,24,3
2/13/2014,978,6745961,1.725,11,813,795,97184,7,3,1
2/14/2014,4029,6749990,6.586,11,820,381,97191,14,16,8
2/15/2014,2512,6752502,3.834,11,824,215,97205,16,23,2
2/16/2014,3362,6755864,5.063,11,829,278,97221,12,34,2
2/17/2014,5433,6761297,8.226,11,837,504,97233,10,40,10
2/18/2014,5727,6767024,8.393,11,845,896,97243,19,19,2
2/19/2014,9485,6776509,14.086,11,859,983,97262,18,45,6
2/20/2014,12971,6789480,18.707,11,878,690,97280,27,103,11
2/21/2014,9545,6799025,12.423,11,891,113,97307,34,59,8
2/22/2014,14261,6813286,25.945,11,917,058,97341,38,730,31
2/23/2014,14567,6827853,25.298,11,942,356,97379,56,666,35
2/24/2014,14119,6841972,19.238,11,961,594,97435,76,79,10
2/25/2014,14003,6855975,17.699,11,979,293,97511,45,50,14
2/26/2014,12168,6868143,15.039,11,994,332,97556,28,35,7
2/27/2014,13138,6881281,16.042,12,010,374,97584,28,54,10
2/28/2014,10483,6891764,13.017,12,023,391,97612,38,46,12
